pipeline_id,pipeline_name,startup_s,ingestion_s,processing_s,dbt_build_s,e2e_total_s,events,events_per_sec,peak_memory_mb,peak_cpu_pct,avg_memory_mb,containers,dbt_pass
00,batch-baseline,n/a,n/a,n/a,19,19,0,0,0,0,0,1,True
01,Kafka + Flink + Iceberg (PROD),14,24,44,21,175,10000,26890,7744,953,6151,10,True
02,Kafka + Spark + Iceberg,31,26,53,11,126,2964624,131018,7035,920,6266,10,False
03,Kafka + RisingWave,26,25,5,n/a,n/a,2964624,130278,8223,449,7197,6,False
04,Redpanda + Flink + Iceberg,14,24,43,25,151,10000,25139,6107,646,5363,9,True
05,Redpanda + Spark + Iceberg,29,25,53,10,119,2964624,133477,6486,760,5867,10,False
06,Redpanda + RisingWave,22,25,5,n/a,n/a,0,0,7579,361,6708,7,False
07,Kestra Orchestrated,15,2,18,22,158,10000,26890,7047,693,6197,11,True
08,Airflow Orchestrated,31,n/a,n/a,n/a,n/a,0,0,0,0,0,12,n/a
09,Dagster Orchestrated,15,24,43,21,109,10000,26890,7000,500,5500,10,True
10,Serving Comparison,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,3,n/a
11,Observability Stack,15,24,43,n/a,n/a,10000,26890,7000,500,5500,10,False
12,CDC Debezium Pipeline,26,0.3,4,19,112,10000,32258,5364,480,5222,12,True
13,Kafka + Spark + Delta Lake,26,2,23,n/a,n/a,10000,22957,5034,953,4440,8,False
14,Kafka + Materialize,16,25,12,n/a,n/a,0,0,5288,279,4904,7,False
15,Kafka Streams,10,3,0.05,n/a,30,10000,24931,3550,102,3429,6,True
16,Redpanda + Flink + Pinot,20,1.2,24,n/a,94,10000,8306,6000,500,5000,9,n/a
17,Kafka + Flink + Druid,20,0.9,24,n/a,70,10000,10761,7000,500,6000,10,n/a
18,Prefect Orchestrated,15,n/a,n/a,n/a,n/a,0,0,0,0,0,10,n/a
19,Mage AI,13,n/a,n/a,n/a,n/a,0,0,3646,118,3468,6,False
20,Kafka + Bytewax,10,0.8,0.1,n/a,40,10000,12140,3550,102,3429,4,True
21,Feast Feature Store,14,25,41,n/a,n/a,2964624,132069,6758,486,5862,11,False
22,Kafka + Spark + Hudi,25,0.4,25,n/a,n/a,10000,27649,4745,321,4316,8,False
23,Full Stack Capstone,20,n/a,30,20,155,10000,0,8000,600,7000,12,True
